,nommun,estado,eventos,inm_30km,distancia_metros,latitud,facility_count_57,facility_count_67,facility_count_77,facility_count_87,facility_count_97
267,"Bacalar, Quintana Roo",Quintana Roo,9,2,32916,18.6782559,0,0,0,0,0
268,"Gutierrez Zamora, Veracruz",Veracruz,9,0,885859,20.456991,0,0,0,0,0
269,"Manzanillo, Colima",Colima,10,0,1999809,19.0506256,0,0,0,0,0
270,"Gonzalez, Tamaulipas",Tamaulipas,8,0,1247820,22.79038735,0,0,0,0,0
271,"Motozintla, Chiapas",Chiapas,8,2,35928,15.3050827,1,1,1,1,1
272,"Seybaplaya, Campeche",Campeche,13,0,279187,19.60337225,0,0,0,0,0
273,"Celaya, Guanajuato",Guanajuato,8,0,1221119,20.521788,0,0,0,0,0
274,"Zacatelco, Tlaxcala",Tlaxcala,8,2,871546,19.215833,3,3,4,4,4
275,"Puente de Ixtla, Morelos",Morelos,8,0,1229625,18.6171111,0,0,0,0,0
276,"Panuco, Veracruz",Veracruz,8,0,1170507,22.08052495,0,0,0,0,0
277,"Juan Rodriguez Clara, Veracruz",Veracruz,8,0,492370,17.97320895,0,0,0,0,0
278,"Villa Corzo, Chiapas",Chiapas,380,0,352251,16.0631888,0,0,0,0,0
279,"Tihuatlan, Veracruz",Veracruz,35,0,945230,20.716735,0,0,0,0,0
280,"Imuris, Sonora",Sonora,7,0,3082770,30.7874899,0,0,0,0,0
