,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
377,"Tuxpan, Veracruz",20.95647915,-97.40738177,municipio,"Tuxpan, Ver.",9,4,13,10,6,16,16,17,33,53,18,71,15,3,18,2,0,2,11,6,17,0,0,0,0,13,13,1,30,31,0,4,4,0,0,0,117,101,218
60,"Chihuahua, Chihuahua",28.5000001,-106.0000001,municipio,"Janos, Chih.",33,0,33,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,3,0,3,7,0,7,7,0,7,0,0,0,17,0,17,45,0,45,116,0,116
130,"Tepeji del Río de Ocampo, Hidalgo",19.89368265,-99.34871815,municipio,"Tlajomulco de Zúñiga, Jal.",0,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,113,0,113
215,"San Sebastián Tutla, Oaxaca",17.059722,-96.672222,municipio,"Santa María Huatulco, Oax.",27,0,27,34,46,80,8,0,8,0,0,0,26,10,36,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,56,163
17,"Escárcega, Campeche",18.606934,-90.7385823,municipio,"Champotón, Camp.",0,0,0,0,0,0,47,17,64,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,48,3,51,5,24,29,0,0,0,0,0,0,105,44,149
138,"Tlajomulco de Zúñiga, Jalisco",20.48187375,-103.4005097,municipio,"Morelia, Mich.",1,1,2,1,2,3,3,0,3,0,1,1,1,0,1,0,0,0,0,0,0,2,0,2,4,0,4,2,0,2,90,28,118,0,0,0,104,32,136
52,"Tonalá, Chiapas",16.0894476,-93.7546502,municipio,"Tonalá, Chis.",0,0,0,0,0,0,0,0,0,3,4,7,55,85,140,29,16,45,0,0,0,13,0,13,0,0,0,0,25,25,0,0,0,0,0,0,100,130,230
62,"Juárez, Chihuahua",31.7372575,-106.485655,municipio,"Ojinaga, Chih.",8,0,8,14,0,14,38,0,38,18,0,18,0,0,0,0,0,0,9,0,9,0,0,0,3,0,3,0,0,0,0,4,4,7,0,7,97,4,101
240,"San Juan del Río, Querétaro",20.3867547,-99.9931982,municipio,"Solidaridad, Q. Roo",0,0,0,12,2,14,6,0,6,6,2,8,1,3,4,0,3,3,46,14,60,0,19,19,4,9,13,5,15,20,8,1,9,0,10,10,88,78,166
277,"Jalapa, Tabasco",17.721716,-92.812012,municipio,"Antiguo Morelos, Tamps.",18,17,35,9,0,9,18,5,23,8,1,9,0,0,0,0,0,0,14,5,19,0,0,0,15,12,27,0,0,0,0,0,0,0,0,0,82,40,122
151,"Temixco, Morelos",18.8449428,-99.2236369,municipio,"Anáhuac, NL",21,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57,3,60,0,0,0,0,3,3,0,0,0,0,0,0,79,7,86
324,"Tocatlán, Tlaxcala",19.389167,-98.03,municipio,"Yauhquemehcan, Tlax.",0,0,0,9,1,10,62,13,75,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,79,19,98
