ID_Poligono,geometry
PG325,"POLYGON ((-108 10, -107 10, -107 9, -108 9, -108 10))"
PG326,"POLYGON ((-108 11, -107 11, -107 10, -108 10, -108 11))"
PG327,"POLYGON ((-108 12, -107 12, -107 11, -108 11, -108 12))"
PG328,"POLYGON ((-108 13, -107 13, -107 12, -108 12, -108 13))"
PG329,"POLYGON ((-108 14, -107 14, -107 13, -108 13, -108 14))"
PG330,"POLYGON ((-108 15, -107 15, -107 14, -108 14, -108 15))"
PG331,"POLYGON ((-108 16, -107 16, -107 15, -108 15, -108 16))"
PG332,"POLYGON ((-108 17, -107 17, -107 16, -108 16, -108 17))"
PG333,"POLYGON ((-108 18, -107 18, -107 17, -108 17, -108 18))"
PG334,"POLYGON ((-108 19, -107 19, -107 18, -108 18, -108 19))"
PG335,"POLYGON ((-108 20, -107 20, -107 19, -108 19, -108 20))"
PG336,"POLYGON ((-108 21, -107 21, -107 20, -108 20, -108 21))"
PG337,"POLYGON ((-108 22, -107 22, -107 21, -108 21, -108 22))"
PG338,"POLYGON ((-108 23, -107 23, -107 22, -108 22, -108 23))"
PG339,"POLYGON ((-108 24, -107 24, -107 23, -108 23, -108 24))"
PG340,"POLYGON ((-108 25, -107 25, -107 24, -108 24, -108 25))"
PG341,"POLYGON ((-108 26, -107 26, -107 25, -108 25, -108 26))"
PG342,"POLYGON ((-108 27, -107 27, -107 26, -108 26, -108 27))"
PG343,"POLYGON ((-108 28, -107 28, -107 27, -108 27, -108 28))"
PG344,"POLYGON ((-108 29, -107 29, -107 28, -108 28, -108 29))"
PG345,"POLYGON ((-108 30, -107 30, -107 29, -108 29, -108 30))"
PG346,"POLYGON ((-108 31, -107 31, -107 30, -108 30, -108 31))"
PG347,"POLYGON ((-108 32, -107 32, -107 31, -108 31, -108 32))"
PG348,"POLYGON ((-108 33, -107 33, -107 32, -108 32, -108 33))"
PG349,"POLYGON ((-108 34, -107 34, -107 33, -108 33, -108 34))"
PG350,"POLYGON ((-108 35, -107 35, -107 34, -108 34, -108 35))"
