Arc,From_Node,To_Node,origen_xy,destino_xy
PG1614-PG1574,PG1614,PG1574,"19.3439655, -90.7242742","18.651739, -91.81492"
PG1152-PG1113,PG1152,PG1113,"23.40496, -99.3806698","23.80420455, -100.225663498075"
PG1113-PG1114,PG1113,PG1114,"23.80420455, -100.225663498075","24.22172555, -99.9241345206951"
PG1114-PG1116,PG1114,PG1116,"24.22172555, -99.9241345206951","25.7816542, -100.1887501"
PG1192-PG1193,PG1192,PG1193,"24.2169169, -98.483929","24.7554618, -98.5369904"
PG1193-PG1154,PG1193,PG1154,"24.7554618, -98.5369904","24.8838044, -99.6739794"
PG1193-PG1194,PG1193,PG1194,"24.7554618, -98.5369904","25.4915799, -98.9811115045569"
PG1194-PG1155,PG1194,PG1155,"25.4915799, -98.9811115045569","25.7932962, -99.1811424"
PG1193-PG1232,PG1193,PG1232,"24.7554618, -98.5369904","24.8466769, -98.1473493"
PG841-PG761,PG841,PG761,"24.0350752647048, -104.663661325132","23.2035785, -106.4208391"
PG1072-PG1113,PG1072,PG1113,"22.5000001, -100.4949145","23.80420455, -100.225663498075"
PG1695-PG1654,PG1695,PG1654,"21.2822136, -89.6636637","19.830285751988, -90.5355146399854"
PG1810-PG1772,PG1810,PG1772,"20.1692965, -87.4495481261673","20.6902505, -88.2016999"
PG1772-PG1694,PG1772,PG1694,"20.6902505, -88.2016999","20.9670759, -89.6237402"
