nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligon,codigo_unico,detenciones,conteo_puntos
"Pueblo Viejo, Veracruz","Pueblo Viejo, Veracruz",Veracruz,22.1638426,-97.89855507348236,G,PG1228,G-PG1228-3, 3,1
"Tampico, Tamaulipas","Tampico, Tamaulipas",Tamaulipas,22.2157619,-97.8577713,G,PG1228,G-PG1228-4, 563,1
"Aldama, Tamaulipas","Aldama, Tamaulipas",Tamaulipas,22.9196081,-98.0741727,G,PG1229,G-PG1229-1, 14,0
"Soto la Marina, Tamaulipas","Soto la Marina, Tamaulipas",Tamaulipas,23.87599915,-98.0502640007194,G,PG1230,G-PG1230-1, 53,0
"San Fernando, Tamaulipas","San Fernando, Tamaulipas",Tamaulipas,24.8466769,-98.1473493,G,PG1232,G-PG1232-1, 673,0
"Reynosa, Tamaulipas","Reynosa, Tamaulipas",Tamaulipas,26.0907673,-98.2788191,G,PG1233,G-PG1233-1,6 356,0
"Reynosa-Hidalgo, Benito Juárez I y II (terrestre) 16","Reynosa-Hidalgo, Tamaulipas",Tamaulipas,26.02235932449347,-98.24819911446303,FN,PG1233,FN-PG1233-2,0,0
Reynosa III-Pharr (Nuevo amanecer) (terrestre),"Reynosa III-Pharr , Tamaulipas",Tamaulipas,26.04348552050304,-98.20580782687132,FN,PG1233,FN-PG1233-3,0,0
"Rio Bravo, Tamaulipas","Rio Bravo, Tamaulipas",Tamaulipas,25.988981,-98.0945766,G,PG1233,G-PG1233-4, 58,0
Nuevo Progreso-Las Flores (terrestre),"Nuevo Progreso-Las Flores , Tamaulipas",Tamaulipas,26.06058061952616,-97.9499974549377,FN,PG1233,FN-PG1233-5,0,0
"Capote, Puente TLC (terrestre)","Capote, Tamaulipas",Tamaulipas,26.07260786674765,-97.71099570924524,FN,PG1233,FN-PG1233-6,0,0
"San Pedro Totolapam, Oaxaca","San Pedro Totolapam, Oaxaca",Oaxaca,15.8659835,-97.0043148,S,PG1258,S-PG1258-1, 20,0
"Villa de Tamazulapam del Progreso, Oaxaca","Villa de Tamazulapam del Progreso, Oaxaca",Oaxaca,17.6748203,-97.5720083,S,PG1260,S-PG1260-1, 2,0
"Villa Tejupam de la Union, Oaxaca","Villa Tejupam de la Union, Oaxaca",Oaxaca,17.6625,-97.470833,S,PG1260,S-PG1260-2, 2,0
"Santo Domingo Yanhuitlan, Oaxaca","Santo Domingo Yanhuitlan, Oaxaca",Oaxaca,17.5273478,-97.3421502,S,PG1260,S-PG1260-3, 44,0
"San Bartolo Soyaltepec, Oaxaca","San Bartolo Soyaltepec, Oaxaca",Oaxaca,17.57706925,-97.31194366093106,S,PG1260,S-PG1260-4, 36,0
