,sexo,edad,pais
701,Mujer,17,Honduras
702,Mujer,20,Honduras
703,Mujer,22,Estados Unidos
704,Hombre,25,Estados Unidos
705,Mujer,24,Estados Unidos
706,Mujer,37,Honduras
707,Mujer,25,Honduras
708,Hombre,17,Honduras
709,Mujer,28,Argentina
710,Mujer,21,Honduras
711,Mujer,26,El Salvador
712,Mujer,16,Honduras
713,Mujer,17,Honduras
714,Hombre,24,Estados Unidos
715,Mujer,19,Guatemala
716,Mujer,20,
717,Hombre,25,
718,Hombre,35,Guatemala
719,Mujer,20,Guatemala
720,Mujer,23,Guatemala
721,Hombre,33,Guatemala
722,Mujer,26,Guatemala
723,Hombre,19,Guatemala
724,Hombre,28,Guatemala
725,Hombre,30,Guatemala
726,Hombre,20,Guatemala
727,Hombre,28,Guatemala
728,Hombre,28,Guatemala
729,Hombre,23,Guatemala
730,Hombre,21,Guatemala
731,Hombre,17,Guatemala
732,Hombre,18,Guatemala
733,Hombre,26,Guatemala
734,Hombre,25,Guatemala
735,Hombre,20,Guatemala
736,Hombre,18,Guatemala
737,Hombre,20,Guatemala
738,Hombre,21,Guatemala
739,Hombre,27,Guatemala
740,Hombre,18,Guatemala
741,Hombre,20,Guatemala
742,Hombre,20,Guatemala
743,Hombre,23,Guatemala
744,Hombre,26,Guatemala
745,Hombre,18,Guatemala
746,Hombre,19,Guatemala
747,Hombre,23,Guatemala
748,Hombre,25,Guatemala
749,Hombre,20,Guatemala
750,Hombre,22,Guatemala
751,Hombre,26,Guatemala
752,Hombre,20,Guatemala
753,Hombre,26,Guatemala
754,Mujer,25,Guatemala
755,Hombre,18,Guatemala
756,Hombre,28,Guatemala
757,Hombre,23,Guatemala
758,Hombre,20,Guatemala
759,Mujer,24,Honduras
760,Hombre,25,Guatemala
761,Hombre,25,Guatemala
762,Hombre,19,Honduras
763,Mujer,24,Guatemala
764,Hombre,23,Guatemala
765,Hombre,23,Guatemala
766,Hombre,23,Guatemala
767,Hombre,25,Guatemala
768,Hombre,20,Guatemala
769,Hombre,25,Guatemala
770,Hombre,21,Guatemala
771,Hombre,21,Guatemala
772,Hombre,21,Guatemala
773,Hombre,28,Guatemala
774,Hombre,22,Guatemala
775,Hombre,25,Guatemala
776,Hombre,23,Guatemala
777,Hombre,23,Guatemala
778,Hombre,25,Guatemala
779,Hombre,21,Guatemala
780,Hombre,19,Guatemala
781,Hombre,21,Guatemala
782,Hombre,25,Guatemala
783,Hombre,20,Guatemala
784,Hombre,25,Guatemala
785,Hombre,19,Guatemala
786,Hombre,21,Guatemala
787,Hombre,20,Guatemala
788,Hombre,24,Guatemala
789,Hombre,20,Guatemala
790,Hombre,23,Guatemala
791,Hombre,21,Guatemala
792,Hombre,20,Guatemala
793,Hombre,19,Guatemala
794,Hombre,24,Guatemala
795,Hombre,27,Guatemala
796,Hombre,20,Guatemala
797,Hombre,20,Guatemala
798,Hombre,23,Guatemala
799,Hombre,23,Guatemala
800,Hombre,32,Guatemala
801,Hombre,27,Guatemala
802,Mujer,25,Guatemala
803,Mujer,29,Guatemala
804,Mujer,24,Guatemala
805,Mujer,27,Guatemala
806,Hombre,25,Guatemala
807,Mujer,24,Guatemala
808,Hombre,22,Guatemala
809,Hombre,27,Guatemala
810,Hombre,24,Guatemala
811,Mujer,25,Guatemala
812,Mujer,23,Guatemala
813,Mujer,19,Guatemala
814,Hombre,25,Guatemala
815,Mujer,30,Guatemala
816,Hombre,22,Guatemala
817,Hombre,27,Guatemala
818,Hombre,24,Guatemala
819,Hombre,23,Guatemala
820,Hombre,23,Guatemala
821,Hombre,29,Guatemala
822,Mujer,24,Guatemala
823,Mujer,28,Honduras
824,Hombre,25,Guatemala
825,Mujer,29,Guatemala
826,Hombre,25,Guatemala
827,Mujer,25,Guatemala
828,Mujer,30,Guatemala
829,Hombre,23,Guatemala
830,Hombre,23,Guatemala
831,Mujer,23,Guatemala
832,Mujer,24,Guatemala
833,Hombre,25,Guatemala
834,Mujer,22,Guatemala
835,Mujer,25,Honduras
836,Hombre,20,Honduras
837,Hombre,19,Guatemala
838,Mujer,34,Guatemala
839,Mujer,25,Guatemala
840,Hombre,24,Guatemala
841,Mujer,47,Guatemala
842,Mujer,24,Guatemala
843,Mujer,28,Guatemala
844,Hombre,25,Guatemala
845,Hombre,32,Guatemala
846,Mujer,26,Guatemala
847,Hombre,29,Guatemala
848,Hombre,27,Guatemala
849,Mujer,19,Guatemala
850,Mujer,27,Guatemala
851,Mujer,21,Guatemala
852,Hombre,19,Guatemala
853,Hombre,24,Estados Unidos
854,Mujer,29,Guatemala
855,Hombre,24,Estados Unidos
856,Hombre,20,Guatemala
857,Mujer,27,Guatemala
858,Hombre,24,Guatemala
859,Mujer,26,Guatemala
860,Mujer,28,Guatemala
861,Hombre,23,Guatemala
862,Hombre,19,Guatemala
863,Mujer,19,Guatemala
864,Mujer,22,Guatemala
865,Hombre,19,Guatemala
866,Hombre,21,Guatemala
867,Mujer,19,Guatemala
868,Hombre,26,Guatemala
869,Hombre,17,Guatemala
870,Hombre,21,Guatemala
871,Mujer,22,Guatemala
872,Mujer,28,Guatemala
873,Hombre,21,Guatemala
874,Hombre,21,Guatemala
875,Hombre,20,Guatemala
876,Hombre,33,Guatemala
877,Hombre,20,Guatemala
878,Mujer,23,Honduras
879,Mujer,25,Guatemala
880,Hombre,28,Guatemala
881,Mujer,28,Guatemala
882,Hombre,26,Guatemala
883,Mujer,23,Guatemala
884,Mujer,22,Guatemala
885,Hombre,25,Guatemala
886,Mujer,25,Guatemala
887,Hombre,27,Guatemala
888,Mujer,25,Guatemala
889,Mujer,27,Guatemala
890,Mujer,26,Guatemala
891,Hombre,24,Guatemala
892,Hombre,21,Guatemala
893,Mujer,25,Guatemala
894,Mujer,23,Guatemala
895,Hombre,24,Guatemala
896,Hombre,27,Guatemala
897,Hombre,20,Guatemala
898,Hombre,24,Guatemala
899,Mujer,40,Guatemala
900,Mujer,26,Guatemala
901,Mujer,21,Guatemala
902,Hombre,19,Guatemala
903,Mujer,26,Guatemala
904,Hombre,29,Guatemala
905,Mujer,25,Guatemala
906,Mujer,28,Guatemala
907,Mujer,32,Guatemala
908,Hombre,23,Honduras
909,Mujer,21,Guatemala
910,Mujer,27,Guatemala
911,Hombre,21,Guatemala
912,Hombre,28,Guatemala
913,Mujer,22,Guatemala
914,Hombre,27,Guatemala
915,Mujer,22,Guatemala
916,Mujer,18,Guatemala
917,Hombre,25,Guatemala
918,Mujer,25,Guatemala
919,Mujer,28,Guatemala
920,Mujer,27,Guatemala
921,Hombre,22,Guatemala
922,Hombre,24,Guatemala
923,Mujer,29,Guatemala
924,Hombre,24,Honduras
925,Mujer,19,Guatemala
