name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Centro Casa Origen ,,,,,OSC / ONG,"Unidad Habitacional Colosio, Condominio Obsidiana No. 51, Puerto Márquez, Acapulco, Guerrero. C.P. 39890,Acapulco, Guerrero",redes
 Caminamos Juntos ,,,,,OSC / ONG,"Abierto por cita. Solicitar cita previa. Zona Centro 37700 San Miguel de Allende, Guanajuato,San Miguel de Allende, Guanajuato",redes
 Casa San Carlos Borromeo ,,,,,OSC / ONG,"Moroleón #107, Col. Guanajuato C.P. 36790,Salamanca, Guanajuato",redes
" Irapuato Vive, AC ",,,,,OSC / ONG,"Jesús García 356 Zona Centro C.P. 36510,Irapuato, Guanajuato",redes
 Fundación Comunitaria del Bajío ,,,,,OSC / ONG,"Manuel Altamirano No. 480-1 C.P. 35600,Irapuato, Guanajuato",redes
 Centro Regional de la Red de Mujeres de Bajío ACCEREMUBA ,,,,,OSC / ONG,"Alvaro Obregón 381-5, Planta Alta, zona Centro, CP 3800,Celaya, Guanajuato",redes
 Casa del migrante ABBA ,,,,,OSC / ONG,"Calle, Eufemio Zapata #216. Colonia, Emiliano Zapata. Celaya Guanajuato. C.P 38030,Celaya, Guanajuato",redes
" Albergue Manos Extendidas para los Necesitados, AC ",,,,,OSC / ONG,"16 de Septiembre 428 Celaya, Guanajuato, C.P. 38057 (casi enfrente del templo del Barrio del Zapote),Celaya, Guanajuato",redes
 Dream in Mexico A.C. ,,,,,OSC / ONG,"Virtual,León, Guanajuato",redes
 SEMIGRANTE (Zitácuaro) ,,,,,OSC / ONG,"Interior Palacio Municipal, Ocampo Poniente No. 13, Col. Centro, C.P. 61500,Zitácuaro, Michoacán",redes
 SEMIGRANTE (Ziracuaretiro) ,,,,,OSC / ONG,"Presidencia Municipal, Portal Matamoros S/N, Colonia Centro, C.P. 61700,Ziracuaretiro, Michoacán",redes
 SEMIGRANTE (Zinapécuaro) ,,,,,OSC / ONG,"Interior Casa de la Cultura, Av. Hidalgo No. 32, Col. Centro, C.P. 58930,Zinapécuaro, Michoacán",redes
 SEMIGRANTE (Zináparo) ,,,,,OSC / ONG,"Interior Palacio Municipal, Calle Ruiseñor No. 01, Col. Centro, C.P. 59460,Zináparo, Michoacán",redes
 SEMIGRANTE (Zamora) ,,,,,OSC / ONG,"Palacio Municipal, Guerrero Ote. No. 82, Col. Centro, C.P. 59600,Zamora, Michoacán",redes
 SEMIGRANTE (Zacapu) ,,,,,OSC / ONG,"Interior Oficina de Relaciones Exteriores, Allende No. 91-A, Col. Centro, C.P. 58600,Zacapu, Michoacán",redes
 SEMIGRANTE (Yurécuaro) ,,,,,OSC / ONG,"Portal Hidalgo S/N, Col. Centro, C.P. 59250,Yurécuaro, Michoacán",redes
 Centro Crecer Solidaridad ,,,,,OSC / ONG,"Av. Mariano Hidalgo #102 Frac Solidaridad,Aguascalientes, Aguascalientes",redes
 Centro Crecer San Marcos ,,,,,OSC / ONG,"Av. Aguascalientes #604 Col. San Marcos,Aguascalientes, Aguascalientes",redes
 Centro Crecer Primo Verdad ,,,,,OSC / ONG,"Av. Guadalupe González #611 Col. Primo Verdad,Aguascalientes, Aguascalientes",redes
 Centro Crecer Pabellón De Arteaga ,,,,,OSC / ONG,"C. Pedro Parga S/N Frac Trojes de San Pedro,Aguascalientes, Aguascalientes",redes
 Centro Crecer Olivares Santana ,,,,,OSC / ONG,"Benjamín de la Mora S/N Fracc. Olivares Santana,Aguascalientes, Aguascalientes",redes
 Centro Crecer Mujeres Ilustres ,,,,,OSC / ONG,"C. Ángela Peralta #228 esquina Margarita Maza de Juárez Fracc. Mujeres Ilustres,Aguascalientes, Aguascalientes",redes
 Centro Crecer Insurgentes ,,,,,OSC / ONG,"Actualmente se cuenta con 26 centros CRECER distribuidos en todo el estado, funcionando con más de 72 clases o talleres, con alrededor de 25 000 beneficiarios mensuales.,Aguascalientes, Aguascalientes",redes
 Centro Crecer Pirules ,,,,,OSC / ONG,"Actualmente se cuenta con 26 centros CRECER distribuidos en todo el estado, funcionando con más de 72 clases o talleres, con alrededor de 25 000 beneficiarios mensuales.,Aguascalientes, Aguascalientes",redes
 Centro Crecer Palomino Dena ,,,,,OSC / ONG,"Gilberto López Velarde #314, Lic Benito Palomino Dena, C. P. 20172,Aguascalientes, Aguascalientes",redes
 Centro Crecer Obraje ,,,,,OSC / ONG,"Prof. Enrique Olivares Santana #119, Col. Obraje, C. P. 20230,Aguascalientes, Aguascalientes",redes
 Centro Crecer Nazario Ortiz Garza ,,,,,OSC / ONG,"Calle Agustín Pradillo #302, Col. Progreso, C. P. 20179,Aguascalientes, Aguascalientes",redes
 Centro Crecer Miravalle ,,,,,OSC / ONG,"Calle Felipe Ruiz de Chávez #614, Col. Miravalle, C. P. 20040,Aguascalientes, Aguascalientes",redes
 Centro Crecer La Salud ,,,,,OSC / ONG,"Calle De La Luna 125, Laurel, Barrio de la Salud, C.P. 20240,Aguascalientes, Aguascalientes",redes
 Centro Crecer La Estrella ,,,,,OSC / ONG,"Calle La Lira #1009, Col. La Estrella, C. P. 20150,Aguascalientes, Aguascalientes",redes
 Centro Crecer Jesús Terán (Gómez Portugal) ,,,,,OSC / ONG,"Av. Palmas Esq Olivos Fracc. Jesús Terán,Aguascalientes, Aguascalientes",redes
